ID	SMILES
1	[Cl-].C[N+]1=C2C=C(N)C=CC2=CC3=C1C=C(N)C=C3.NC4=CC5=NC6=C(C=CC(=C6)N)C=C5C=C4
2	[Na+].[Na+].[O-]C(=O)C1=C(C=CC=C1)C2=C3C=C(Br)C(=O)C(=C3OC4=C2C=C(Br)C(=C4Br)[O-])Br
3	[NH4+].COC1CC(OC(C)C1OC)OC2CC(OC2C3(C)CCC(O3)C4(C)CCC5(CC(O)C(C)C(O5)C(C)C6OC(O)(CC([O-])=O)C(C)C(OC)C6OC)O4)C7OC(C)(O)C(C)CC7C
4	CN(C)C1=CC=C(C=C1)C(C2=CC=CC=C2)=C3C=CC(C=C3)=[N+](C)C.CN(C)C4=CC=C(C=C4)C(C5=CC=CC=C5)=C6C=CC(C=C6)=[N+](C)C.OC(=O)C(O)=O.OC(=O)C([O-])=O.OC(=O)C([O-])=O
5	CCNC(=O)C1CCCN1C(=O)C(CCCNC(N)=N)NC(=O)C(CC(C)C)NC(=O)C(CC2=C[NH]C3=C2C=CC=C3)NC(=O)C(CC4=CC=C(O)C=C4)NC(=O)C(CO)NC(=O)C(CC5=C[NH]C6=C5C=CC=C6)NC(=O)C(CC7=C[NH]C=N7)NC(=O)C8CCC(=O)N8.CC(O)=O
6	CCCCCCCCNC(C)C(O)C1=CC=C(SC(C)C)C=C1
7	CC1=C2O[Hg]C2=C(C=C1)[N+]([O-])=O
8	CCN(CC)C(=S)SSC(=S)N(CC)CC
9	Cl.CCCCCCOC1=CC=C(C(=N)N(CCCC)CCCC)C2=C1C=CC=C2
10	Cl.Cl.COCC(=O)OC1(CCN(C)CCCC2=NC3=C([NH]2)C=CC=C3)CCC4=C(C=CC(=C4)F)C1C(C)C
11	Cl.Cl.CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC
12	Cl.OC(CNCC(O)C1CCC2=C(O1)C=CC(=C2)F)C3CCC4=C(O3)C=CC(=C4)F
13	CC(C)(C)CC(C)(C)C1=CC=C(O)C(=C1)CC2=CC=C(Cl)C=C2Cl
14	CCCCCNC(=N)N\N=C\C1=C[NH]C2=C1C=C(OC)C=C2
15	ClCC(=O)C1=C(Cl)C=C(Cl)C=C1
16	CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(CCC5(O)C4CCC3(O)C2)C6=CC(=O)OC6)C(O)C(O)C1O
17	[Br-].CCCCCCCCCCCCCC[N+](C)(C)C
18	[Br-].CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1
19	[Br-].CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1
20	[Cl-].CN(C)C1=CC=C(C=C1)C(C2=CC=C(C=C2)N(C)C)=C3C=CC(C=C3)=[N+](C)C
21	CC(C)OC(=O)C1=C(C)NC(=C(C1C2=CC(=CC=C2)[N+]([O-])=O)C(=O)OC3CN(C3)C(C4=CC=CC=C4)C5=CC=CC=C5)N
22	O[N+]([O-])=O.ClC1=CC=C(CO\N=C(/C[N]2C=CN=C2)C3=CC=C(Cl)C=C3Cl)C(=C1)Cl
23	CC12CC3=C(ON=C3)C=C1CCC4C2CCC5(C)C4CCC5(O)C#C
24	CC(OC1OCCN(CC2=NC(=O)N=N2)C1C3CCC(F)CC3)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F
25	C[N+]1=CC2=C(C=CC3=C2OCO3)C4=C1C5=C(C=C4)C=C6OCOC6=C5
26	CC1=CC(=O)N(O)C(=C1)C2CCCCC2.NCCO
27	COC(=O)C1=C(C)NC(=C(C1C2=CC=CC(=C2)[N+]([O-])=O)C(=O)OCCN(C)CC3=CC=CC=C3)C
28	Cl.Cl.COC(=O)C1=C(C)NC(=C(C1C2=CC(=CC=C2)[N+]([O-])=O)C(=O)OCCN3CCN(CC3)C(C4=CC=CC=C4)C5=CC=CC=C5)C
29	Cl.CN1CCCC(CC2C3=C(SC4=C2C=CC=C4)C=CC=C3)C1
30	Cl.OC(C1CCCCN1)C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F
31	Cl.OC1=CC=C(C=C1)C2=C(C(=O)C3=CC=C(OCCN4CCCCC4)C=C3)C5=CC=C(O)C=C5S2
32	CN(C)C(=S)SC(=S)N(C)C
33	CN(C)C(=S)SSC(=S)N(C)C
34	CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2
35	COC1=CC=C(CCN2CCC(CC2)NC3=NC4=CC=CC=C4[N]3CC5=CC=C(F)C=C5)C=C1
36	CN(C)C1C2CC3CC4=CC=CC(=C4C(=O)C3=C(O)C2(O)C(=O)C(=C1O)C(N)=O)O
37	O.CCOC1=CC2=C(N)C3=C(C=C(N)C=C3)N=C2C=C1.CC(O)C(O)=O
38	CCCCCCOC(=O)N=C(N)C1=CC=C(NCC2=NC3=C(C=CC(=C3)C(=O)N(CCC(=O)OCC)C4=NC=CC=C4)[N]2C)C=C1
39	CC1OC(CC(O)C1OC2CC(O)C(OC3CC(O)C(OC4OC(CO)C(O)C(O)C4O)C(C)O3)C(C)O2)OC5CCC6(C)C(CCC7C6CC(O)C8(C)C(CCC78O)C9=CC(=O)OC9)C5
40	CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC3C(O)CC(OC3C)OC4CCC5(C)C(CCC6C5CCC7(C)C(CCC67O)C8=CC(=O)OC8)C4
41	CC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5(O)C4CCC3=C2)C6=COC(=O)C=C6)C(O)C(O)C1O
42	CC1=CC(=O)C2=C(C=CC=C2)C1=O
43	OC1=C(Br)C=C(Br)C=C1C(=O)NC2=CC=C(Br)C=C2
44	CC1=C2C(=CC3=C4C2=C(C(=C1)O)C(=O)C5=C4C(=C(O)C=C5O)C(=O)C3(C)C)O
45	[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)CC
46	[Cl-].CC(C)(C)CC(C)(C)C1=CC=C(OCCOCC[N+](C)(C)CC2=CC=CC=C2)C=C1
47	[Cl-].CC1=CC(=CC=C1C(C)(C)CC(C)(C)C)OCCOCC[N+](C)(C)CC2=CC=CC=C2
48	O[N+]([O-])=O.ClC1=CC=C(CSC(C[N]2C=CN=C2)C3=CC=C(Cl)C=C3Cl)C=C1
49	CCC1(O)C(=O)OCC2=C1C=C3N(CC4=C(\C=N\OC(C)(C)C)C5=CC=CC=C5N=C34)C2=O
50	CCCCC1=C(C(=O)C2=CC(=C(OCCN(CC)CC)C(=C2)I)I)C3=CC=CC=C3O1
51	Cl.Cl.COCC(=O)OC1(CCN(C)CCCC2=NC3=C([NH]2)C=CC=C3)CCC4=C(C=CC(=C4)F)C1C(C)C
52	Cl.CSC1=CC2=C(SC3=C(C=CC=C3)N2CCC4CCCCN4C)C=C1
53	Cl.CCCCCCCCCCOCC(O)CN
54	ClC1=CC(=C(C=C1)C(C[N]2C=CN=C2)OCC3=C(Cl)SC=C3)Cl
55	CN1CCCC1CCOC(C)(C2=CC=CC=C2)C3=CC=C(Cl)C=C3.OC(=O)/C=C/C(O)=O
56	CSC1=CC2=C(SC3=CC=CC=C3N2CCC4CCCCN4C)C=C1
57	COC1=C2OC3=CC=C(CC4N(C)CCC5=C4C(=C6OCOC6=C5)OC7=CC8=C(CCN(C)C8CC(=C2)C=C1)C=C7OC)C=C3
58	OCCN1CCN(CC\C=C/2C3=C(SC4=C2C=C(C=C4)C(F)(F)F)C=CC=C3)CC1
59	FC1=CC=C(C=C1)[N]2C=C(C3CCN(CC3)CCN4CCNC4=O)C5=C2C=CC(=C5)Cl
60	NC(=O)[N]1C(=C(C(=O)C2=CC=CS2)C3=CC(=CC=C13)Cl)O
61	CCCCCCCCCCCCCCCCC(C(O)=O)C(O)(CC(O)=O)C(O)=O
62	CCN(CC)CCNC(=O)C1C(=NC(=C1C)/C=C/2C(=O)NC3=CC=C(F)C=C23)C.OC(CC(O)=O)C(O)=O
63	NC1=CC=C2C=C3C=CC(=CC3=NC2=C1)N.NC4=CC=C5C=C6C=CC(=CC6=NC5=C4)N.O[S](O)(=O)=O
64	CC1=C(O)C2=CC=CC=C2C(=C1)O
65	CC1=CC=C(C=C1)C(=O)C2=CC(=C(O)C(=C2)[N+]([O-])=O)O
66	CC1=CC(=O)OC2=C1C=CC(=C2)O
67	[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C
68	O.O.[Cl-].CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1
69	[I-].CCN1C(=CC=CC2=[N+](CC)C3=C(C=CC=C3)C=C2)C=CC4=C1C=CC=C4
70	O[N+]([O-])=O.ClC1=CC=C(CCC(C[N]2C=CN=C2)SC3=C(Cl)C=CC=C3Cl)C=C1
71	CC12CCC3C(CCC4=C3C=CC(=C4)OC5CCCC5)C1CCC2(O)C#C
72	CC(C)=CCC\C(C)=C\CC\C(C)=C\C(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C
73	C1=CC=C(C=C1)C([N]2C=CN=C2)C3=CC=C(C=C3)C4=CC=CC=C4
74	CC(O)=O.CC1=C([N](CC2=CC=C(OCCN3CCCCCC3)C=C2)C4=C1C=C(O)C=C4)C5=CC=C(O)C=C5
75	CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
76	CCCCN(CCCC)CC(O)C1=C2C3=CC=C(Cl)C=C3\C(=C\C4=CC=C(Cl)C=C4)C2=CC(=C1)Cl
77	CCN(CC)CCNC1=CC=C(CO)C2=C1C(=O)C3=CC=CC=C3S2
78	Cl.CCC(=O)C1=CC2=C(SC3=C(C=CC=C3)N2CCCN(C)C)C=C1
79	Cl.Cl.CC1CN(CCC[N]2C3=C(C=CC=C3)C4=C2C=CC=C4)CC(C)N1
80	Cl.Cl.CN1CCN(CCCN2C3=C(SC4=C2C=C(C=C4)C(F)(F)F)C=CC=C3)CC1
81	Cl.FC1=CC=C(C=C1)C(=O)C2CCN(CC2)CCN3C(=S)NC4=CC=CC=C4C3=O
82	ClC1=CC2=C(C=C1)C(=O)NS2
83	CCOC(=O)N1CCC(CC1)=C2C3=C(CCC4=C2N=CC=C4)C=C(Cl)C=C3
84	ClC1=CC(=C(C=C1)C(C[N]2C=CN=C2)OCC3=C(Cl)C=CC=C3Cl)Cl
85	CN(C)CC\C=C1/C2=CC=CC=C2SC3=C1C=C(Cl)C=C3
86	CN(C)CCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2
87	COC1/C=C/OC2(C)OC3=C(C2=O)C4=C(C(=C3C)O)C(=C(NC(=O)\C(=C/C=C/C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C)C(=C4O)\C=N\N5CCN(C)CC5)O
88	CN1CCN(CC1)CCC(=O)N2C3=CC=CC=C3SC4=CC=C(C=C24)C(F)(F)F
89	COC1=CC=C(CCN2CCC(CC2)NC3=NC4=CC=CC=C4[N]3CC5=CC=C(F)C=C5)C=C1
90	OC(=O)C[N]1C2=CC=CC=C2C=C1C(=O)NC3=NC(=CS3)C4=C(Cl)C=CC=C4
91	CN1CCN(CCCN2C3=C(SC4=C2C=C(Cl)C=C4)C=CC=C3)CC1.OC(=O)\C=C/C(O)=O.OC(=O)\C=C/C(O)=O
92	CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(O)=O)C(C)(C)CCC2(C)C
93	CC1=CC=C(C=C1C)N2N=C(C)\C(=N/NC3=CC=CC(=C3O)C4=CC=CC(=C4)C(O)=O)C2=O
94	CCC1(O)CC2CN(CCC3=C([NH]C4=C3C=CC=C4)C(C2)(C(=O)OC)C5=CC6=C(C=C5OC)N(C=O)C7C(O)(C(OC(C)=O)C8(CC)C=CCN9CCC67C89)C(=O)OC)C1
95	CC1(O)CCC2C3CCC4CC(=O)C(/CC4(C)C3CCC12C)=C\O
96	OC1=C2N=CC=CC2=C(Cl)C=C1Cl
97	COC1C(CC2CN3CCC4=C([NH]C5=C4C=CC(=C5)OC)C3CC2C1C(=O)OC)OC(=O)\C=C\C6=CC(=C(O)C=C6)OC
98	CN1CCC2=CC=CC3=C2C1CC4=C3C(=C(O)C=C4)O
99	COC1=CC=CC2=C1C(=O)C3=C(C(=C4CC(O)(CC(OC5CC(N)C(OC6CCCCO6)C(C)O5)C4=C3O)C(=O)CO)O)C2=O
100	OCCN1CCN(CCCN2C3=CC=CC=C3SC4=C2C=C(Cl)C=C4)CC1
101	OC1=CC=C(C2=C1N=CC=C2)[N+]([O-])=O
102	O[N+]([O-])=O.ClC1=CC=C(COC(C[N]2C=CN=C2)C3=C(Cl)C=C(Cl)C=C3)C=C1
103	CC12CCC3C(CCC4=CCCCC34)C1CCC2(O)C#C
104	CCCCCCCCCCCCCCCCO[P]([O-])(=O)OCC[N+](C)(C)C
105	CC(\[N]1C=CN=C1)=C(OCCOC2=CC=C(Cl)C=C2)/C3=C(Cl)C=C(Cl)C=C3
106	CCC12CCC3C(CCC4=C\C(CCC34)=N\O)C1CCC2(OC(C)=O)C#C
107	CC1=NC(=CC(=N1)NC2=NC=C(S2)C(=O)NC3=C(C)C=CC=C3Cl)N4CCN(CCO)CC4
108	CCN(CC)CCOC1=CC=C2C(=C1)C(=O)C3=CC(=CC=C23)OCCN(CC)CC
109	CCN(CC)CCSC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2
110	Cl.CC1C2C(O)C3C(N(C)C)C(=C(C(N)=O)C(=O)C3(O)C(=C2C(=O)C4=C1C=CC=C4O)O)O
111	Cl.CN(C)C1C2CC3C(=C(O)C2(O)C(=O)C(=C1O)C(N)=O)C(=O)C4=C(C=CC=C4O)C3(C)O
112	Cl.NC1=C(S)C=CC(=C1)C(F)(F)F
113	Cl.O=C(NC1=CC=CC=C1)OCC(CN2CCCCC2)OC(=O)NC3=CC=CC=C3
114	Cl.CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(CC(O)=O)C2=O
115	OC1=C(Cl)C=C(Cl)C(=C1CC2=C(O)C(=CC(=C2Cl)Cl)Cl)Cl
116	OC1=C(C=C(I)C=C1I)C(=O)NC2=CC=C(OC3=CC=C(Cl)C=C3)C(=C2)Cl
117	OC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(=C1)Cl
118	ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(=C2)Cl)C=C1
119	CC12CCC3C(CCC4=C3C=CC(=C4)OC(=O)N(CCCl)CCCl)C1CCC2O
120	CN1CCN(CC1)C2=NC3=CC(=CC=C3NC4=C2C=CC=C4)Cl
121	CNCCCCOC1=C(CC2=CC=CC=C2)C=CC=C1
122	CCC1CN2CCC3=C(C=C(OC)C(=C3)OC)C2CC1CC4NCCC5=CC(=C(OC)C=C45)OC
123	COC12C(COC(N)=O)C3=C(N1CC4NC24)C(=O)C(=C(N)C3=O)C
