smiles,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
B.C1COCCN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Br.Br.CN(C)CCCC1=CC(=CC=C1O)C(=O)NC2=CC=C(C=C2)C3=CC=NC=C3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Br.Br.NC(=N)SCCC1=C[NH]C=N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Br.Br.NCCSC(N)=N,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Br.CC(CC1=CC=C(O)C=C1)NCC(O)C2=CC(=CC(=C2)O)O,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Br.CC(N)CC1=CC=C(O)C=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
Br.CC1=C(CC(N)C(O)=O)C(=NO1)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Br.CC1C2CC3=C(C=C(O)C=C3)C1(C)CCN2CCC4=CC=CC=C4,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,,0.0,
Br.CCCCCCCCN1CN(C)C=C1,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,
Br.CCCCN1CN(C)C=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Br.CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Br.CCCN(CCC)C1CCC2=C(C1)C=C(O)C=C2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Br.CCCN(CCC)C1CCC2=CC=C(O)C=C2C1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Br.CCCN(CCC)C1CCC2=CC=CC(=C2C1)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Br.CCCN(CCC)CCC1=CC=C(O)C(=C1)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Br.CCCN1CCC2=CC(=CC3=C2C1CC4=C3C(=C(O)C=C4)O)O,0.0,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
