smiles,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
BrC1=C(Br)C(Br)=C(Br)C(Br)=C1Br,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BrC1=CC(Br)=C(Br)C=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
BrC1=CC(Br)=CC(Br)=C1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
BrC1=CC=C(Br)C=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BrC1=CC=CC=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BrCC(Br)C1=CC=CC=C1,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0
BrCC1=CC=C(Br)C=C1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BrCC1=CC=CC=C1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BrCCC1=CC=CC=C1,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
O=[N+]([O-])C1=C(C(F)(F)F)C=C(O)C=C1,0.0,,,,,,,,0.0,0.0,,1.0
BrCCOC1=CC=CC=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CC(C)(C)NC(=O)C1=CC(Cl)=CC(Cl)=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0
C#CC(C)(CC)OC(=O)C1=CC=CC=C1C(=O)O,,,,,,,,0.0,,0.0,,
O=[N+]([O-])C1=C(Cl)C(Cl)=C(Cl)C=C1,0.0,0.0,0.0,,0.0,,0.0,1.0,0.0,0.0,0.0,0.0
C#CC(C)N(C)C(=O)NC1=CC=C(Cl)C=C1,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=C(Cl)C(Cl)=CC(Cl)=C1Cl,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=C(Cl)C(Cl)=CC=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=C(Cl)C([N+](=O)[O-])=C(Cl)C(C(F)(F)F)=C1,0.0,0.0,0.0,,,,,,,,,
O=[N+]([O-])C1=C(Cl)C([N+](=O)[O-])=CC(C(F)(F)F)=C1,1.0,,0.0,,,0.0,,1.0,0.0,0.0,,0.0
O=[N+]([O-])C1=C(Cl)C=C(Cl)C=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=C(Cl)C=C(Cl)C=C1Cl,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=C(Cl)C=CC(C(F)(F)F)=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=C(Cl)C=CC(Cl)=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=C(F)C=C(F)C=C1,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=C(NCCO)C=CC(N(CCO)CCO)=C1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0
O=[N+]([O-])C1=C(O)C=CC([As](=O)(O)O)=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC(Cl)=C(Cl)C(Cl)=C1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
O=[N+]([O-])C1=CC(Cl)=C(Cl)C(Cl)=C1Cl,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,,,
O=[N+]([O-])C1=CC(Cl)=C(Cl)C=C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC(Cl)=C(Cl)C=C1Cl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC(Cl)=C(F)C=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC(Cl)=CC=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC(I)=C(O)C(I)=C1,0.0,,0.0,0.0,,0.0,,,,,,
O=[N+]([O-])C1=CC(I)=CC=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC(O)=CC=C1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
O=[N+]([O-])C1=CC(OCCO)=C(NCCO)C=C1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC(S(=O)(=O)[O-])=CC=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
O=[N+]([O-])C1=CC([N+](=O)[O-])=C(Cl)C=C1,0.0,1.0,0.0,,,0.0,,,1.0,,,1.0
O=[N+]([O-])C1=CC([N+](=O)[O-])=C(F)C=C1,0.0,,1.0,0.0,,0.0,,,,0.0,1.0,0.0
O=[N+]([O-])C1=CC([N+](=O)[O-])=C(O)C(O)=C1,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
C#CCN(C)C(C)CC1=CC=CC=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC1=CC=CC=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CCCOC1=C(Cl)C=C(Cl)C=C1,0.0,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,,0.0
O=[N+]([O-])C1=CC([N+](=O)[O-])=C(O)C=C1,0.0,,,0.0,,0.0,,1.0,,0.0,1.0,0.0
C#CCNC(C)CC1=CC=CC=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC=C(CBr)C=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC=C(CCO)C=C1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
O=[N+]([O-])C1=CC=C(CCl)C=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC=C(CO)C=C1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC=C(Cl)C=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC=C(O)C=C1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
O=[N+]([O-])C1=CC=C([As](=O)(O)O)C=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC=C([N+](=O)[O-])C=C1,0.0,0.0,0.0,,1.0,0.0,0.0,,1.0,0.0,1.0,0.0
O=[N+]([O-])C1=CC=C([O-])C=C1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
O=[N+]([O-])C1=CC=CC(C(F)(F)F)=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC=CC(CCl)=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC=CC([N+](=O)[O-])=C1,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC=CC=C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC=CC=C1C(F)(F)F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC=CC=C1CCO,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC=CC=C1CCl,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC=CC=C1Cl,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC=CC=C1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC=CC=C1[N+](=O)[O-],0.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
O=[N+]([O-])C1=CC=CC=C1[O-],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
